filepath,split,tasks/case category,tasks/malignancy,original_filepath,original_split,case category,malignancy,mask_path,original_image_size,original_mask_path
images/000027.tiff,test,1,0,benign/benign (123).png,train,benign,no malignant finding,masks/000027.tiff,"(648, 610)",benign/benign (123)_mask.png
images/000028.tiff,train,1,0,benign/benign (124).png,train,benign,no malignant finding,masks/000028.tiff,"(645, 614)",benign/benign (124)_mask.png
images/000029.tiff,train,1,0,benign/benign (125).png,train,benign,no malignant finding,masks/000029.tiff,"(756, 578)",benign/benign (125)_mask.png
images/000030.tiff,train,1,0,benign/benign (126).png,train,benign,no malignant finding,masks/000030.tiff,"(771, 570)",benign/benign (126)_mask.png
images/000031.tiff,train,1,0,benign/benign (127).png,train,benign,no malignant finding,masks/000031.tiff,"(558, 476)",benign/benign (127)_mask.png
images/000032.tiff,test,1,0,benign/benign (128).png,train,benign,no malignant finding,masks/000032.tiff,"(549, 475)",benign/benign (128)_mask.png
images/000033.tiff,train,1,0,benign/benign (129).png,train,benign,no malignant finding,masks/000033.tiff,"(775, 587)",benign/benign (129)_mask.png
images/000034.tiff,test,1,0,benign/benign (13).png,train,benign,no malignant finding,masks/000034.tiff,"(678, 571)",benign/benign (13)_mask.png
images/000035.tiff,test,1,0,benign/benign (130).png,train,benign,no malignant finding,masks/000035.tiff,"(558, 474)",benign/benign (130)_mask.png
images/000036.tiff,val,1,0,benign/benign (131).png,train,benign,no malignant finding,masks/000036.tiff,"(587, 435)",benign/benign (131)_mask.png
images/000037.tiff,train,1,0,benign/benign (132).png,train,benign,no malignant finding,masks/000037.tiff,"(552, 483)",benign/benign (132)_mask.png
images/000038.tiff,train,1,0,benign/benign (133).png,train,benign,no malignant finding,masks/000038.tiff,"(369, 342)",benign/benign (133)_mask.png
images/000039.tiff,train,1,0,benign/benign (134).png,train,benign,no malignant finding,masks/000039.tiff,"(378, 345)",benign/benign (134)_mask.png
images/000040.tiff,test,1,0,benign/benign (135).png,train,benign,no malignant finding,masks/000040.tiff,"(776, 582)",benign/benign (135)_mask.png
images/000041.tiff,train,1,0,benign/benign (136).png,train,benign,no malignant finding,masks/000041.tiff,"(886, 581)",benign/benign (136)_mask.png
images/000042.tiff,train,1,0,benign/benign (137).png,train,benign,no malignant finding,masks/000042.tiff,"(777, 578)",benign/benign (137)_mask.png
images/000043.tiff,train,1,0,benign/benign (138).png,train,benign,no malignant finding,masks/000043.tiff,"(766, 600)",benign/benign (138)_mask.png
images/000044.tiff,train,1,0,benign/benign (139).png,train,benign,no malignant finding,masks/000044.tiff,"(563, 468)",benign/benign (139)_mask.png
images/000045.tiff,train,1,0,benign/benign (14).png,train,benign,no malignant finding,masks/000045.tiff,"(699, 531)",benign/benign (14)_mask.png
images/000046.tiff,train,1,0,benign/benign (140).png,train,benign,no malignant finding,masks/000046.tiff,"(452, 591)",benign/benign (140)_mask.png
images/000047.tiff,test,1,0,benign/benign (141).png,train,benign,no malignant finding,masks/000047.tiff,"(567, 471)",benign/benign (141)_mask.png
images/000048.tiff,train,1,0,benign/benign (142).png,train,benign,no malignant finding,masks/000048.tiff,"(785, 582)",benign/benign (142)_mask.png
images/000049.tiff,train,1,0,benign/benign (143).png,train,benign,no malignant finding,masks/000049.tiff,"(554, 467)",benign/benign (143)_mask.png
images/000050.tiff,train,1,0,benign/benign (144).png,train,benign,no malignant finding,masks/000050.tiff,"(770, 580)",benign/benign (144)_mask.png
images/000051.tiff,train,1,0,benign/benign (145).png,train,benign,no malignant finding,masks/000051.tiff,"(779, 574)",benign/benign (145)_mask.png
images/000052.tiff,test,1,0,benign/benign (146).png,train,benign,no malignant finding,masks/000052.tiff,"(449, 594)",benign/benign (146)_mask.png
images/000053.tiff,train,1,0,benign/benign (147).png,train,benign,no malignant finding,masks/000053.tiff,"(564, 463)",benign/benign (147)_mask.png
images/000054.tiff,train,1,0,benign/benign (148).png,train,benign,no malignant finding,masks/000054.tiff,"(567, 463)",benign/benign (148)_mask.png
images/000055.tiff,train,1,0,benign/benign (149).png,train,benign,no malignant finding,masks/000055.tiff,"(557, 468)",benign/benign (149)_mask.png
images/000056.tiff,train,1,0,benign/benign (15).png,train,benign,no malignant finding,masks/000056.tiff,"(701, 526)",benign/benign (15)_mask.png
images/000057.tiff,train,1,0,benign/benign (150).png,train,benign,no malignant finding,masks/000057.tiff,"(671, 570)",benign/benign (150)_mask.png
images/000058.tiff,test,1,0,benign/benign (151).png,train,benign,no malignant finding,masks/000058.tiff,"(560, 469)",benign/benign (151)_mask.png
images/000059.tiff,train,1,0,benign/benign (152).png,train,benign,no malignant finding,masks/000059.tiff,"(555, 471)",benign/benign (152)_mask.png
images/000060.tiff,train,1,0,benign/benign (153).png,train,benign,no malignant finding,masks/000060.tiff,"(772, 574)",benign/benign (153)_mask.png
images/000061.tiff,train,1,0,benign/benign (154).png,train,benign,no malignant finding,masks/000061.tiff,"(556, 464)",benign/benign (154)_mask.png
images/000062.tiff,test,1,0,benign/benign (155).png,train,benign,no malignant finding,masks/000062.tiff,"(783, 583)",benign/benign (155)_mask.png
images/000063.tiff,train,1,0,benign/benign (156).png,train,benign,no malignant finding,masks/000063.tiff,"(887, 581)",benign/benign (156)_mask.png
images/000064.tiff,test,1,0,benign/benign (157).png,train,benign,no malignant finding,masks/000064.tiff,"(567, 465)",benign/benign (157)_mask.png
images/000065.tiff,train,1,0,benign/benign (158).png,train,benign,no malignant finding,masks/000065.tiff,"(556, 464)",benign/benign (158)_mask.png
images/000066.tiff,train,1,0,benign/benign (159).png,train,benign,no malignant finding,masks/000066.tiff,"(696, 574)",benign/benign (159)_mask.png
images/000067.tiff,train,1,0,benign/benign (16).png,train,benign,no malignant finding,masks/000067.tiff,"(558, 462)",benign/benign (16)_mask.png
images/000068.tiff,train,1,0,benign/benign (160).png,train,benign,no malignant finding,masks/000068.tiff,"(624, 585)",benign/benign (160)_mask.png
images/000069.tiff,train,1,0,benign/benign (161).png,train,benign,no malignant finding,masks/000069.tiff,"(568, 463)",benign/benign (161)_mask.png
images/000070.tiff,train,1,0,benign/benign (162).png,train,benign,no malignant finding,masks/000070.tiff,"(549, 470)",benign/benign (162)_mask.png
images/000071.tiff,test,1,0,benign/benign (163).png,train,benign,no malignant finding,masks/000071.tiff,"(779, 576)",benign/benign (163)_mask.png
images/000072.tiff,train,1,0,benign/benign (164).png,train,benign,no malignant finding,masks/000072.tiff,"(560, 470)",benign/benign (164)_mask.png
images/000073.tiff,train,1,0,benign/benign (165).png,train,benign,no malignant finding,masks/000073.tiff,"(558, 464)",benign/benign (165)_mask.png
images/000074.tiff,train,1,0,benign/benign (166).png,train,benign,no malignant finding,masks/000074.tiff,"(555, 471)",benign/benign (166)_mask.png
images/000075.tiff,train,1,0,benign/benign (167).png,train,benign,no malignant finding,masks/000075.tiff,"(566, 463)",benign/benign (167)_mask.png
images/000076.tiff,train,1,0,benign/benign (168).png,train,benign,no malignant finding,masks/000076.tiff,"(557, 471)",benign/benign (168)_mask.png
images/000077.tiff,train,1,0,benign/benign (169).png,train,benign,no malignant finding,masks/000077.tiff,"(561, 469)",benign/benign (169)_mask.png
images/000078.tiff,train,1,0,benign/benign (17).png,train,benign,no malignant finding,masks/000078.tiff,"(558, 463)",benign/benign (17)_mask.png
images/000079.tiff,train,1,0,benign/benign (170).png,train,benign,no malignant finding,masks/000079.tiff,"(564, 468)",benign/benign (170)_mask.png
images/000080.tiff,test,1,0,benign/benign (171).png,train,benign,no malignant finding,masks/000080.tiff,"(566, 463)",benign/benign (171)_mask.png
images/000081.tiff,train,1,0,benign/benign (172).png,train,benign,no malignant finding,masks/000081.tiff,"(619, 589)",benign/benign (172)_mask.png
images/000082.tiff,train,1,0,benign/benign (173).png,train,benign,no malignant finding,masks/000082.tiff,"(726, 573)",benign/benign (173)_mask.png
images/000083.tiff,train,1,0,benign/benign (174).png,train,benign,no malignant finding,masks/000083.tiff,"(556, 490)",benign/benign (174)_mask.png
images/000084.tiff,train,1,0,benign/benign (175).png,train,benign,no malignant finding,masks/000084.tiff,"(765, 573)",benign/benign (175)_mask.png
images/000085.tiff,test,1,0,benign/benign (176).png,train,benign,no malignant finding,masks/000085.tiff,"(715, 487)",benign/benign (176)_mask.png
images/000086.tiff,train,1,0,benign/benign (177).png,train,benign,no malignant finding,masks/000086.tiff,"(562, 470)",benign/benign (177)_mask.png
images/000087.tiff,test,1,0,benign/benign (178).png,train,benign,no malignant finding,masks/000087.tiff,"(772, 576)",benign/benign (178)_mask.png
images/000088.tiff,train,1,0,benign/benign (179).png,train,benign,no malignant finding,masks/000088.tiff,"(422, 468)",benign/benign (179)_mask.png
images/000089.tiff,train,1,0,benign/benign (18).png,train,benign,no malignant finding,masks/000089.tiff,"(564, 469)",benign/benign (18)_mask.png
images/000090.tiff,train,1,0,benign/benign (180).png,train,benign,no malignant finding,masks/000090.tiff,"(763, 600)",benign/benign (180)_mask.png
images/000091.tiff,test,1,0,benign/benign (181).png,train,benign,no malignant finding,masks/000091.tiff,"(733, 455)",benign/benign (181)_mask.png
images/000092.tiff,train,1,0,benign/benign (182).png,train,benign,no malignant finding,masks/000092.tiff,"(555, 463)",benign/benign (182)_mask.png
images/000093.tiff,train,1,0,benign/benign (183).png,train,benign,no malignant finding,masks/000093.tiff,"(916, 683)",benign/benign (183)_mask.png
images/000094.tiff,train,1,0,benign/benign (184).png,train,benign,no malignant finding,masks/000094.tiff,"(349, 487)",benign/benign (184)_mask.png
images/000095.tiff,test,1,0,benign/benign (185).png,train,benign,no malignant finding,masks/000095.tiff,"(752, 592)",benign/benign (185)_mask.png
images/000096.tiff,train,1,0,benign/benign (186).png,train,benign,no malignant finding,masks/000096.tiff,"(741, 574)",benign/benign (186)_mask.png
images/000097.tiff,train,1,0,benign/benign (187).png,train,benign,no malignant finding,masks/000097.tiff,"(730, 574)",benign/benign (187)_mask.png
images/000098.tiff,test,1,0,benign/benign (188).png,train,benign,no malignant finding,masks/000098.tiff,"(655, 600)",benign/benign (188)_mask.png
images/000099.tiff,test,1,0,benign/benign (189).png,train,benign,no malignant finding,masks/000099.tiff,"(544, 465)",benign/benign (189)_mask.png
images/000100.tiff,train,1,0,benign/benign (19).png,train,benign,no malignant finding,masks/000100.tiff,"(663, 572)",benign/benign (19)_mask.png
images/000101.tiff,train,1,0,benign/benign (190).png,train,benign,no malignant finding,masks/000101.tiff,"(734, 470)",benign/benign (190)_mask.png
images/000102.tiff,test,1,0,benign/benign (191).png,train,benign,no malignant finding,masks/000102.tiff,"(549, 463)",benign/benign (191)_mask.png
images/000103.tiff,train,1,0,benign/benign (192).png,train,benign,no malignant finding,masks/000103.tiff,"(557, 474)",benign/benign (192)_mask.png
images/000104.tiff,train,1,0,benign/benign (193).png,train,benign,no malignant finding,masks/000104.tiff,"(754, 580)",benign/benign (193)_mask.png
images/000105.tiff,test,1,0,benign/benign (194).png,train,benign,no malignant finding,masks/000105.tiff,"(711, 492)",benign/benign (194)_mask.png
images/000106.tiff,test,1,0,benign/benign (195).png,train,benign,no malignant finding,masks/000106.tiff,"(729, 611)",benign/benign (195)_mask.png
images/000107.tiff,train,1,0,benign/benign (196).png,train,benign,no malignant finding,masks/000107.tiff,"(766, 580)",benign/benign (196)_mask.png
images/000108.tiff,train,1,0,benign/benign (197).png,train,benign,no malignant finding,masks/000108.tiff,"(547, 465)",benign/benign (197)_mask.png
images/000109.tiff,train,1,0,benign/benign (198).png,train,benign,no malignant finding,masks/000109.tiff,"(759, 571)",benign/benign (198)_mask.png
images/000110.tiff,train,1,0,benign/benign (199).png,train,benign,no malignant finding,masks/000110.tiff,"(556, 473)",benign/benign (199)_mask.png
images/000111.tiff,train,1,0,benign/benign (2).png,train,benign,no malignant finding,masks/000111.tiff,"(557, 473)",benign/benign (2)_mask.png
images/000112.tiff,val,1,0,benign/benign (20).png,train,benign,no malignant finding,masks/000112.tiff,"(319, 473)",benign/benign (20)_mask.png
images/000113.tiff,train,1,0,benign/benign (200).png,train,benign,no malignant finding,masks/000113.tiff,"(554, 473)",benign/benign (200)_mask.png
images/000114.tiff,train,1,0,benign/benign (201).png,train,benign,no malignant finding,masks/000114.tiff,"(556, 474)",benign/benign (201)_mask.png
images/000115.tiff,train,1,0,benign/benign (202).png,train,benign,no malignant finding,masks/000115.tiff,"(552, 469)",benign/benign (202)_mask.png
images/000116.tiff,train,1,0,benign/benign (203).png,train,benign,no malignant finding,masks/000116.tiff,"(569, 471)",benign/benign (203)_mask.png
images/000117.tiff,train,1,0,benign/benign (204).png,train,benign,no malignant finding,masks/000117.tiff,"(560, 476)",benign/benign (204)_mask.png
images/000118.tiff,train,1,0,benign/benign (205).png,train,benign,no malignant finding,masks/000118.tiff,"(557, 477)",benign/benign (205)_mask.png
images/000119.tiff,train,1,0,benign/benign (206).png,train,benign,no malignant finding,masks/000119.tiff,"(569, 485)",benign/benign (206)_mask.png
images/000120.tiff,train,1,0,benign/benign (207).png,train,benign,no malignant finding,masks/000120.tiff,"(562, 481)",benign/benign (207)_mask.png
images/000121.tiff,test,1,0,benign/benign (208).png,train,benign,no malignant finding,masks/000121.tiff,"(562, 479)",benign/benign (208)_mask.png
images/000122.tiff,val,1,0,benign/benign (209).png,train,benign,no malignant finding,masks/000122.tiff,"(558, 477)",benign/benign (209)_mask.png
images/000123.tiff,val,1,0,benign/benign (21).png,train,benign,no malignant finding,masks/000123.tiff,"(558, 451)",benign/benign (21)_mask.png
images/000124.tiff,train,1,0,benign/benign (210).png,train,benign,no malignant finding,masks/000124.tiff,"(563, 471)",benign/benign (210)_mask.png
images/000125.tiff,train,1,0,benign/benign (211).png,train,benign,no malignant finding,masks/000125.tiff,"(557, 465)",benign/benign (211)_mask.png
images/000126.tiff,train,1,0,benign/benign (212).png,train,benign,no malignant finding,masks/000126.tiff,"(558, 469)",benign/benign (212)_mask.png
images/000127.tiff,train,1,0,benign/benign (213).png,train,benign,no malignant finding,masks/000127.tiff,"(573, 486)",benign/benign (213)_mask.png
images/000128.tiff,test,1,0,benign/benign (214).png,train,benign,no malignant finding,masks/000128.tiff,"(602, 396)",benign/benign (214)_mask.png
images/000129.tiff,val,1,0,benign/benign (215).png,train,benign,no malignant finding,masks/000129.tiff,"(600, 396)",benign/benign (215)_mask.png
images/000130.tiff,test,1,0,benign/benign (216).png,train,benign,no malignant finding,masks/000130.tiff,"(646, 386)",benign/benign (216)_mask.png
images/000131.tiff,train,1,0,benign/benign (217).png,train,benign,no malignant finding,masks/000131.tiff,"(603, 396)",benign/benign (217)_mask.png
images/000132.tiff,train,1,0,benign/benign (218).png,train,benign,no malignant finding,masks/000132.tiff,"(602, 396)",benign/benign (218)_mask.png
images/000133.tiff,train,1,0,benign/benign (219).png,train,benign,no malignant finding,masks/000133.tiff,"(608, 396)",benign/benign (219)_mask.png
images/000134.tiff,test,1,0,benign/benign (22).png,train,benign,no malignant finding,masks/000134.tiff,"(562, 463)",benign/benign (22)_mask.png
images/000135.tiff,train,1,0,benign/benign (220).png,train,benign,no malignant finding,masks/000135.tiff,"(609, 396)",benign/benign (220)_mask.png
images/000136.tiff,train,1,0,benign/benign (221).png,train,benign,no malignant finding,masks/000136.tiff,"(610, 394)",benign/benign (221)_mask.png
images/000137.tiff,train,1,0,benign/benign (222).png,train,benign,no malignant finding,masks/000137.tiff,"(605, 392)",benign/benign (222)_mask.png
images/000138.tiff,test,1,0,benign/benign (223).png,train,benign,no malignant finding,masks/000138.tiff,"(562, 465)",benign/benign (223)_mask.png
images/000139.tiff,train,1,0,benign/benign (224).png,train,benign,no malignant finding,masks/000139.tiff,"(568, 469)",benign/benign (224)_mask.png
images/000140.tiff,train,1,0,benign/benign (225).png,train,benign,no malignant finding,masks/000140.tiff,"(558, 473)",benign/benign (225)_mask.png
images/000141.tiff,train,1,0,benign/benign (226).png,train,benign,no malignant finding,masks/000141.tiff,"(555, 469)",benign/benign (226)_mask.png
images/000142.tiff,train,1,0,benign/benign (227).png,train,benign,no malignant finding,masks/000142.tiff,"(567, 468)",benign/benign (227)_mask.png
images/000143.tiff,val,1,0,benign/benign (228).png,train,benign,no malignant finding,masks/000143.tiff,"(563, 469)",benign/benign (228)_mask.png
images/000144.tiff,train,1,0,benign/benign (229).png,train,benign,no malignant finding,masks/000144.tiff,"(564, 470)",benign/benign (229)_mask.png
images/000145.tiff,train,1,0,benign/benign (23).png,train,benign,no malignant finding,masks/000145.tiff,"(779, 583)",benign/benign (23)_mask.png
images/000146.tiff,val,1,0,benign/benign (230).png,train,benign,no malignant finding,masks/000146.tiff,"(566, 470)",benign/benign (230)_mask.png
images/000147.tiff,val,1,0,benign/benign (231).png,train,benign,no malignant finding,masks/000147.tiff,"(561, 472)",benign/benign (231)_mask.png
images/000148.tiff,train,1,0,benign/benign (232).png,train,benign,no malignant finding,masks/000148.tiff,"(562, 469)",benign/benign (232)_mask.png
images/000149.tiff,train,1,0,benign/benign (233).png,train,benign,no malignant finding,masks/000149.tiff,"(557, 471)",benign/benign (233)_mask.png
images/000150.tiff,val,1,0,benign/benign (234).png,train,benign,no malignant finding,masks/000150.tiff,"(562, 469)",benign/benign (234)_mask.png
images/000151.tiff,train,1,0,benign/benign (235).png,train,benign,no malignant finding,masks/000151.tiff,"(560, 468)",benign/benign (235)_mask.png
images/000152.tiff,train,1,0,benign/benign (236).png,train,benign,no malignant finding,masks/000152.tiff,"(566, 469)",benign/benign (236)_mask.png
images/000153.tiff,train,1,0,benign/benign (237).png,train,benign,no malignant finding,masks/000153.tiff,"(558, 473)",benign/benign (237)_mask.png
images/000154.tiff,train,1,0,benign/benign (238).png,train,benign,no malignant finding,masks/000154.tiff,"(556, 469)",benign/benign (238)_mask.png
images/000155.tiff,train,1,0,benign/benign (239).png,train,benign,no malignant finding,masks/000155.tiff,"(560, 473)",benign/benign (239)_mask.png
images/000156.tiff,test,1,0,benign/benign (24).png,train,benign,no malignant finding,masks/000156.tiff,"(556, 467)",benign/benign (24)_mask.png
images/000157.tiff,train,1,0,benign/benign (240).png,train,benign,no malignant finding,masks/000157.tiff,"(556, 473)",benign/benign (240)_mask.png
images/000158.tiff,train,1,0,benign/benign (241).png,train,benign,no malignant finding,masks/000158.tiff,"(562, 471)",benign/benign (241)_mask.png
images/000159.tiff,test,1,0,benign/benign (242).png,train,benign,no malignant finding,masks/000159.tiff,"(556, 474)",benign/benign (242)_mask.png
images/000160.tiff,test,1,0,benign/benign (243).png,train,benign,no malignant finding,masks/000160.tiff,"(561, 473)",benign/benign (243)_mask.png
images/000161.tiff,test,1,0,benign/benign (244).png,train,benign,no malignant finding,masks/000161.tiff,"(561, 475)",benign/benign (244)_mask.png
images/000162.tiff,train,1,0,benign/benign (245).png,train,benign,no malignant finding,masks/000162.tiff,"(560, 465)",benign/benign (245)_mask.png
images/000163.tiff,train,1,0,benign/benign (246).png,train,benign,no malignant finding,masks/000163.tiff,"(526, 331)",benign/benign (246)_mask.png
images/000164.tiff,train,1,0,benign/benign (247).png,train,benign,no malignant finding,masks/000164.tiff,"(469, 396)",benign/benign (247)_mask.png
images/000165.tiff,train,1,0,benign/benign (248).png,train,benign,no malignant finding,masks/000165.tiff,"(472, 385)",benign/benign (248)_mask.png
images/000166.tiff,test,1,0,benign/benign (249).png,train,benign,no malignant finding,masks/000166.tiff,"(465, 395)",benign/benign (249)_mask.png
images/000167.tiff,train,1,0,benign/benign (25).png,train,benign,no malignant finding,masks/000167.tiff,"(770, 583)",benign/benign (25)_mask.png
images/000168.tiff,train,1,0,benign/benign (250).png,train,benign,no malignant finding,masks/000168.tiff,"(469, 394)",benign/benign (250)_mask.png
images/000169.tiff,train,1,0,benign/benign (251).png,train,benign,no malignant finding,masks/000169.tiff,"(467, 387)",benign/benign (251)_mask.png
images/000170.tiff,test,1,0,benign/benign (252).png,train,benign,no malignant finding,masks/000170.tiff,"(473, 398)",benign/benign (252)_mask.png
images/000171.tiff,train,1,0,benign/benign (253).png,train,benign,no malignant finding,masks/000171.tiff,"(463, 383)",benign/benign (253)_mask.png
images/000172.tiff,train,1,0,benign/benign (254).png,train,benign,no malignant finding,masks/000172.tiff,"(473, 389)",benign/benign (254)_mask.png
images/000173.tiff,train,1,0,benign/benign (255).png,train,benign,no malignant finding,masks/000173.tiff,"(473, 389)",benign/benign (255)_mask.png
images/000174.tiff,train,1,0,benign/benign (256).png,train,benign,no malignant finding,masks/000174.tiff,"(469, 395)",benign/benign (256)_mask.png
images/000175.tiff,train,1,0,benign/benign (257).png,train,benign,no malignant finding,masks/000175.tiff,"(467, 392)",benign/benign (257)_mask.png
images/000176.tiff,train,1,0,benign/benign (258).png,train,benign,no malignant finding,masks/000176.tiff,"(462, 389)",benign/benign (258)_mask.png
images/000177.tiff,train,1,0,benign/benign (259).png,train,benign,no malignant finding,masks/000177.tiff,"(465, 390)",benign/benign (259)_mask.png
images/000178.tiff,train,1,0,benign/benign (26).png,train,benign,no malignant finding,masks/000178.tiff,"(554, 471)",benign/benign (26)_mask.png
images/000179.tiff,train,1,0,benign/benign (260).png,train,benign,no malignant finding,masks/000179.tiff,"(498, 331)",benign/benign (260)_mask.png
images/000180.tiff,train,1,0,benign/benign (261).png,train,benign,no malignant finding,masks/000180.tiff,"(469, 386)",benign/benign (261)_mask.png
images/000181.tiff,train,1,0,benign/benign (262).png,train,benign,no malignant finding,masks/000181.tiff,"(471, 401)",benign/benign (262)_mask.png
images/000182.tiff,train,1,0,benign/benign (263).png,train,benign,no malignant finding,masks/000182.tiff,"(465, 390)",benign/benign (263)_mask.png
images/000183.tiff,val,1,0,benign/benign (264).png,train,benign,no malignant finding,masks/000183.tiff,"(462, 391)",benign/benign (264)_mask.png
images/000184.tiff,train,1,0,benign/benign (265).png,train,benign,no malignant finding,masks/000184.tiff,"(544, 328)",benign/benign (265)_mask.png
images/000185.tiff,train,1,0,benign/benign (266).png,train,benign,no malignant finding,masks/000185.tiff,"(462, 389)",benign/benign (266)_mask.png
images/000186.tiff,val,1,0,benign/benign (267).png,train,benign,no malignant finding,masks/000186.tiff,"(500, 327)",benign/benign (267)_mask.png
images/000187.tiff,test,1,0,benign/benign (268).png,train,benign,no malignant finding,masks/000187.tiff,"(506, 330)",benign/benign (268)_mask.png
images/000188.tiff,train,1,0,benign/benign (269).png,train,benign,no malignant finding,masks/000188.tiff,"(465, 390)",benign/benign (269)_mask.png
images/000189.tiff,test,1,0,benign/benign (27).png,train,benign,no malignant finding,masks/000189.tiff,"(774, 576)",benign/benign (27)_mask.png
images/000190.tiff,train,1,0,benign/benign (270).png,train,benign,no malignant finding,masks/000190.tiff,"(500, 328)",benign/benign (270)_mask.png
images/000191.tiff,test,1,0,benign/benign (271).png,train,benign,no malignant finding,masks/000191.tiff,"(510, 324)",benign/benign (271)_mask.png
images/000192.tiff,train,1,0,benign/benign (272).png,train,benign,no malignant finding,masks/000192.tiff,"(498, 326)",benign/benign (272)_mask.png
images/000193.tiff,train,1,0,benign/benign (273).png,train,benign,no malignant finding,masks/000193.tiff,"(560, 469)",benign/benign (273)_mask.png
images/000194.tiff,train,1,0,benign/benign (274).png,train,benign,no malignant finding,masks/000194.tiff,"(556, 471)",benign/benign (274)_mask.png
images/000195.tiff,train,1,0,benign/benign (275).png,train,benign,no malignant finding,masks/000195.tiff,"(556, 463)",benign/benign (275)_mask.png
images/000196.tiff,train,1,0,benign/benign (276).png,train,benign,no malignant finding,masks/000196.tiff,"(550, 474)",benign/benign (276)_mask.png
images/000197.tiff,val,1,0,benign/benign (277).png,train,benign,no malignant finding,masks/000197.tiff,"(556, 469)",benign/benign (277)_mask.png
images/000198.tiff,train,1,0,benign/benign (278).png,train,benign,no malignant finding,masks/000198.tiff,"(561, 464)",benign/benign (278)_mask.png
images/000199.tiff,train,1,0,benign/benign (279).png,train,benign,no malignant finding,masks/000199.tiff,"(551, 467)",benign/benign (279)_mask.png
images/000200.tiff,test,1,0,benign/benign (28).png,train,benign,no malignant finding,masks/000200.tiff,"(841, 696)",benign/benign (28)_mask.png
